Sno,MatchID,Team1,Team2,Winner,Year,Ground,Runs,Fours,Sixes,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR
6,671,Scotland,Pakistan,Pakistan,2018,Edinburgh,345,28,15,day,1,0,0,1,0,5000,134.0014286
7,673,Scotland,Pakistan,Pakistan,2018,Edinburgh,233,16,10,day,1,0,0,1,0,5000,123.9478947
8,681,Zimbabwe,Pakistan,Pakistan,2018,Harare,276,13,13,day,0,1,1,0,0,10000,106.1817647
9,682,Australia,Pakistan,Australia,2018,Harare,214,15,10,day,1,0,1,0,0,10000,130.8857143
10,685,Zimbabwe,Pakistan,Pakistan,2018,Harare,315,26,9,day,0,1,0,1,1,10000,125.2436364
11,686,Australia,Pakistan,Pakistan,2018,Harare,330,30,13,day,1,0,1,0,0,10000,122.045
12,689,Australia,Pakistan,Pakistan,2018,Harare,354,33,15,day,1,0,1,0,1,10000,139.656875
13,701,Australia,Pakistan,Pakistan,2018,Abu Dhabi,235,24,4,night,0,0,1,0,0,20000,127.572381
14,702,Australia,Pakistan,Pakistan,2018,Dubai (DSC),255,14,10,night,0,0,0,1,0,25000,132.1844444
15,704,Australia,Pakistan,Pakistan,2018,Dubai (DSC),256,21,9,night,0,0,0,1,0,25000,124.4733333
16,705,New Zealand,Pakistan,Pakistan,2018,Abu Dhabi,286,24,9,night,0,0,0,1,0,20000,134.20125
17,706,New Zealand,Pakistan,Pakistan,2018,Dubai (DSC),294,20,11,night,0,0,1,0,1,25000,135.3986667
18,708,New Zealand,Pakistan,Pakistan,2018,Dubai (DSC),280,26,7,night,0,0,0,1,0,25000,121.485625
0,648,Bangladesh,Sri Lanka,Sri Lanka,2018,Dhaka,351,39,13,night,1,0,1,0,1,25000,119.0223077
1,651,Bangladesh,Sri Lanka,Sri Lanka,2018,Sylhet,325,31,13,night,1,0,1,0,0,13533,118.6388235
2,656,Sri Lanka,India,Sri Lanka,2018,Colombo (RPS),328,25,16,night,0,0,1,0,0,35000,141.5184615
3,658,Sri Lanka,Bangladesh,Bangladesh,2018,Colombo (RPS),403,33,22,night,0,0,0,1,1,35000,130.9093333
4,659,Sri Lanka,India,India,2018,Colombo (RPS),287,19,12,night,0,0,0,1,1,35000,122.6441176
5,661,Sri Lanka,Bangladesh,Bangladesh,2018,Colombo (RPS),301,25,8,night,0,0,0,1,1,35000,117.42
6,695,Sri Lanka,South Africa,Sri Lanka,2018,Colombo (RPS),184,21,5,night,1,0,0,1,0,35000,95.9345
